title,data
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy corruption elves dwarves orcs middle-earth-(tolkien) hobbit dragon battle unlikely-friendship epic-battle sword-and-sorcery immediately event Desolation Smaug Bilbo dwarf try defend Erebor mountain treasure claim man ruin Laketown elf Mirkwood army Orcs lead Azog Defiler march Erebor fuel rise dark lord Sauron dwarf elf man unite hope Middle Earth fall Bilbo hand
The Amazing Spider-Man,Action Adventure Fantasy loss-of-father vigilante serum marvel-comic scientific-experiment spider-bite masked-vigilante reboot super-powers genetic-engineering social-outcast duringcreditsstinger Peter Parker outcast high schooler abandon parent boy leave raise Uncle Ben Aunt like teenager Peter try figure person today Peter discover mysterious briefcase belong father begin quest understand parent disappearance lead directly Oscorp lab Dr. Curt Connors father partner Spider Man set collision course connor alter ego Lizard Peter life alter choice use power shape destiny hero
Robin Hood,Action Adventure robin-hood archer knight sherwood-forest bow-and-arrow middle-ages medieval king-of-england soldier Robin happen die Robert Loxley promise return man sword family Nottingham assume Robert identity romance widow marion draw ire town sheriff King John henchman Godfrey
The Hobbit: The Desolation of Smaug,Adventure Fantasy elves dwarves orcs hobbit dragon wizard sword-and-sorcery Dwarves Bilbo Gandalf successfully escape Misty Mountains Bilbo gain Ring continue journey gold Dragon Smaug
The Golden Compass,Adventure Fantasy england compass experiment lordship uncle polar-bear orphan animal based-on-young-adult-novel overhear shocking secret precocious orphan Lyra Belacqua trade carefree existence roam hall Jordan College otherworldly adventure far North unaware destiny
King Kong,Adventure Drama Action film-business screenplay show-business film-making film-producer exotic-island monster indigenous ship dinosaur 1933 New York overly ambitious movie producer coerce cast hire ship crew travel mysterious Skull Island encounter Kong giant ape immediately smitten lead lady
Titanic,Drama Romance Thriller shipwreck iceberg ship panic titanic ocean-liner epic rich-woman---poor-man love disaster tragic-love class-differences imax star-crossed-lovers steerage salvage rich-snob 3d 1910s 84 year later 101 year old woman Rose DeWitt Bukater tell story granddaughter Lizzy Calvert Brock Lovett Lewis Bodine Bobby Buell Anatoly Mikailavich Keldysh life set April 10th 1912 ship titanic young Rose board depart ship upper class passenger mother Ruth DeWitt Bukater fiancé Caledon Hockley drifter artist Jack Dawson good friend Fabrizio De Rossi win class ticket ship game explain story departure death titanic voyage April 15th 1912 2:20 morning
Captain America: Civil War,Adventure Action Science-Fiction civil-war war marvel-comic sequel superhero based-on-comic-book imax aftercreditsstinger duringcreditsstinger marvel-cinematic-universe 3d follow event Age Ultron collective government world pass act design regulate superhuman activity polarize opinion Avengers cause faction Iron Man Captain America cause epic battle ally
Battleship,Thriller Action Adventure Science-Fiction fight u.s.-navy mind-reading hong-kong soccer scientist fictional-war naval armada battleship naval-combat jds-myoko lost-communication taser buoy communications-expert joint-chiefs-of-staff crash-landing jet-fighter-pilot navy-lieutenant permission-to-marry uss-john-paul-jones based-on-board-game aftercreditsstinger mighty-mo uss-missouri mankind beam radio signal space reply come planet g form alien craft splash water Hawaii Lieutenant Alex Hopper weapon officer assign USS John Paul Jones international naval coalition world hope survival engage hostile alien force unimaginable strength invader Hopper try live potential brother fiancée father Admiral Shane expect
Jurassic World,Action Adventure Science-Fiction Thriller monster dna tyrannosaurus-rex velociraptor island sequel suspense disaster escape dinosaur amusement-park animal-attack theme-park jurassic-park 3d animal-horror year event Jurassic Park Isla Nublar feature fully function dinosaur theme park Jurassic World originally envision John Hammond
Skyfall,Action Adventure Thriller spy secret-agent sociopath killer art-gallery british-secret-service istanbul-turkey imax uzi booby-trap impersonating-a-police-officer macao Bond late assignment gravely wrong agent world expose MI6 attack force M relocate agency event cause authority position challenge Gareth Mallory new Chairman Intelligence Security Committee MI6 compromise inside M leave ally trust Bond 007 shadow aid field agent Eve follow trail mysterious Silva lethal hide motive reveal
Spider-Man 2,Action Adventure Fantasy dual-identity love-of-one's-life pizza-boy marvel-comic sequel superhero doctor scientist tentacle death super-villain Peter Parker major identity crisis burn Spider Man decide shelve superhero alter ego leave city suffering wake carnage leave evil Doc Ock meantime Parker act feeling Mary Jane Watson girl love childhood
Iron Man 3,Action Adventure Science-Fiction terrorist war-on-terror tennessee malibu marvel-comic superhero based-on-comic-book tony-stark iron-man aftercreditsstinger marvel-cinematic-universe mandarin 3d war-machine iron-patriot extremis Tony Stark world tear apart formidable terrorist Mandarin start odyssey rebuilding retribution
Alice in Wonderland,Family Fantasy Adventure based-on-novel fictional-place queen fantasy alice-in-wonderland fantasy-world 3d Alice unpretentious individual 19 year old betroth dunce english nobleman engagement party escape crowd consider marriage fall hole garden spot unusual rabbit arrive strange surreal place Underland find world resemble nightmare child fill talk animal villainous queen knight frumious bandersnatche Alice realize reason conquer horrific Jabberwocky restore rightful queen throne
X-Men: The Last Stand,Adventure Action Science-Fiction Thriller mutant marvel-comic based-on-comic-book superhuman beast cyclops aftercreditsstinger cure find treat mutation line draw x Men Brotherhood band powerful mutant organize Xavier ally Magneto
Monsters University,Animation Family monster dormitory games animation best-friend university scary aftercreditsstinger look relationship Mike Sulley day Monsters University necessarily good friend
Transformers: Revenge of the Fallen,Science-Fiction Action Adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger Sam Witwicky leave Autobots normal life mind fill cryptic symbol Decepticons target drag Transformers war
Transformers: Age of Extinction,Science-Fiction Action Adventure sequel alien transformers giant-robot robot imax transforming-robot humanity pick piece follow conclusion transformer Dark moon Autobots Decepticons vanish face planet group powerful ingenious businessman scientist attempt learn past Transformer incursion push boundary technology control ancient powerful Transformer menace set Earth cross hair
Oz: The Great and Powerful,Fantasy Adventure Family circus witch magic hope illusion lost magic-trick wizard 3d Oscar Diggs small time circus illusionist con artist whisk Kansas Land Oz inhabitant assume great wizard prophecy save Oz clutch evil
The Amazing Spider-Man 2,Action Adventure Fantasy obsession marvel-comic sequel based-on-comic-book electrocution medical-experiment electricity super-powers Peter Parker life busy bad guy Spider Man spend time person love Gwen Stacy high school graduation come quickly Peter forget promise Gwen father protect stay away promise thing change Peter new villain Electro emerge old friend Harry Osborn return Peter uncover new clue past
TRON: Legacy,Adventure Action Science-Fiction artificial-intelligence secret-identity computer-program dystopia computer deception duel motorcycle neon-light autocracy Sam Flynn tech savvy dare son Kevin Flynn investigate father disappearance pull Grid help mysterious program Quorra Sam quest stop evil dictator Clu cross real world
Cars 2,Animation Family Adventure Comedy car-race sequel comedy anthropomorphism best-friend duringcreditsstinger star race car Lightning McQueen pal Mater head overseas compete World Grand Prix race road championship rocky Mater gets catch intriguing adventure international espionage
Green Lantern,Adventure Action Thriller Science-Fiction dc-comics transformation superhero alien alien-infection magical-object protector super-powers origin 3d century small powerful force warrior Green Lantern Corps swear intergalactic order Green Lantern wear ring grant superpower new enemy Parallax threaten destroy balance power Universe fate fate Earth lie hand human recruit
Toy Story 3,Animation Family Comedy hostage college toy barbie animation escape day-care teddy-bear duringcreditsstinger toy-comes-to-life personification inanimate-objects-coming-to-life toy-story Woody Buzz rest Andy toy play year Andy college gang find accidentally leave nefarious day care center toy band escape return home Andy
Terminator Salvation,Action Science-Fiction Thriller saving-the-world artificial-intelligence prophecy san-francisco cyborg killer-robot gas-station post-apocalyptic dystopia army firearm wartime los-angeles grow post apocalyptic 2018 John Connor lead resistance human increasingly dominate militaristic robot Marcus Wright appear existence confuse mission Connor try determine Wright come future past friend foe
Furious 7,Action car-race speed revenge suspense car race muscle-car Deckard Shaw seek revenge Dominic Toretto family comatose brother
World War Z,Action Drama Horror Science-Fiction Thriller dystopia apocalypse zombie nuclear-weapons multiple-perspectives zombie-apocalypse life United Nations investigator Gerry Lane family content suddenly world plague mysterious infection turn human population rampage mindless zombie barely escape chaos Lane persuade mission investigate disease follow perilous trek world Lane brave horrific danger long odd find answer human civilization fall
X-Men: Days of Future Past,Action Adventure Fantasy Science-Fiction 1970s mutant time-travel marvel-comic based-on-comic-book superhuman storm beast aftercreditsstinger changing-the-past-or-future ultimate X men ensemble fight war survival specie time period join force young self epic battle change past save future
Star Trek Into Darkness,Action Adventure Science-Fiction spacecraft friendship sequel futuristic space alien imax space-opera terrorist-bombing 3d crew enterprise home find unstoppable force terror organization detonate fleet stand leave world state crisis   personal score settle Captain Kirk lead manhunt war zone world capture man weapon mass destruction hero propel epic chess game life death love challenge friendship tear apart sacrifice family Kirk leave crew
Jack the Giant Slayer,Action Family Fantasy based-on-fairy-tale giant story ancient war reignite young farmhand unwittingly open gateway world fearsome race giant unleash Earth time century giant strive reclaim land lose force young man Jack battle life stop fight kingdom people love brave princess come face face unstoppable warrior think exist legend chance legend
The Great Gatsby,Drama Romance based-on-novel infidelity obsession hope 3d adaptation F. Scott Fitzgerald Long Island set novel Midwesterner Nick Carraway lure lavish world neighbor Jay Gatsby soon Carraway crack Gatsby nouveau riche existence obsession madness tragedy await
Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance persia sandstorm brother-against-brother armageddon regent based-on-video-game rogue prince reluctantly join force mysterious princess race dark force safeguard ancient dagger capable release Sands Time gift god reverse time allow possessor rule world
Pacific Rim,Action Science-Fiction Adventure dystopia giant-robot giant-monster apocalypse imax duringcreditsstinger 3d legion monstrous creature know Kaiju start rise sea war begin million life consume humanity resource year end combat giant Kaiju special type weapon devise massive robot jaeger control simultaneously pilot mind lock neural bridge Jaegers prove nearly defenseless face relentless Kaiju verge defeat force defend mankind choice turn unlikely hero wash pilot Charlie Hunnam untested trainee Rinko kikuchi)—who team drive legendary seemingly obsolete Jaeger past stand mankind hope mount apocalypse
Transformers: Dark of the Moon,Action Science-Fiction Adventure moon spacecraft traitor bodyguard alien-planet based-on-cartoon transformers giant-robot sabotage word-domination commando duringcreditsstinger Sam Witwicky tenuous step adulthood remain reluctant human ally Autobot leader Optimus Prime film center space race USSR USA suggest hide Transformers role remain planet dangerous secret
Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action saving-the-world riddle whip treasure mexico-city leather-jacket machinegun alien-phenomenons maya-civilization peru treasure-hunt nuclear-explosion refrigerator archaeologist indiana-jones archeology  Set Cold War Soviets lead sword wield Irina Spalko search crystal skull supernatural power relate mystical Lost City Gold capture escape Indy coerce head Peru behest young man friend Indy colleague Professor Oxley capture knowledge skull whereabout
The Good Dinosaur,Adventure Animation Family tyrannosaurus-rex friends alternate-history dinosaur fear storm nature human journey epic journey world dinosaur Apatosaurus Arlo unlikely human friend
Brave,Animation Adventure Comedy Family Action Fantasy scotland rebel bravery kingdom archer wish bear scot rebellious-daughter turns-into-animal archery ruins aftercreditsstinger peace-offering woman-director courage 3d Brave set mystical Scottish Highlands Mérida princess kingdom rule King Fergus Queen Elinor unruly daughter accomplished archer Mérida day defy sacred custom land inadvertently bring turmoil kingdom attempt set thing right Mérida seek eccentric old Wise Woman grant ill fate wish figure Mérida quest serve comic relief kingdom lord enormous Lord MacGuffin surly Lord Macintosh disagreeable Lord Dingwall
Star Trek Beyond,Action Adventure Science-Fiction sequel stranded hatred space-opera USS Enterprise crew explore furth reach uncharted space encounter mysterious new enemy Federation stand test
WALL·E,Animation Family romantic-comedy WALL·E robot leave Earth overrun garbage human flee outer space 700 year continue try clean mess develop interesting human like quality ship arrive sleek new type robot WALL·E think finally find friend stow away ship leave
Rush Hour 3,Action Comedy Crime Thriller ambassador attempt assassination Ambassador Han Inspector Lee Detective Carter action head Paris protect french woman knowledge Triads secret leader Lee hold secret meeting United Nations authority personal struggle chinese criminal mastermind Kenji reveal Lee long lose brother
2012,Action Adventure Science-Fiction civilization natural-disaster end-of-the-world disaster apocalypse destruction volcanic-eruption mayan ark solar destruction--of-mankind Dr. Adrian Helmsley worldwide geophysical team investigate effect earth radiation unprecedented solar storm learn earth core heat warn U.S. President Thomas Wilson crust earth unstable proper preparation save fraction world population entire race doom writer Jackson Curtis stumble information world leader race build ark escape impending cataclysm Curtis struggle find way save family volcanic eruption earthquake unprecedented strength wreak havoc world
A Christmas Carol,Animation Drama holiday based-on-novel victorian-england money christmas-eve scrooge christmas-carol ghost lesson charles-dickens christmas Miser Ebenezer Scrooge awaken Christmas Eve spirit reveal miserable existence opportunity waste youth current cruelty dire fate await change way scrooge face story grow bitterness meanness decide future hold death redemption
Jupiter Ascending,Science-Fiction Fantasy Action Adventure jupiter space woman-director 3d interspecies-romance universe human genetic material precious commodity impoverished young Earth woman key strategic maneuver internal strife powerful dynasty
The Legend of Tarzan,Action Adventure africa feral-child tarzan jungle animal-attack Tarzan having acclimate life London home jungle investigate activity mining encampment
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy saving-the-world witch based-on-novel brother-sister-relationship self-sacrifice winter cupboard beaver lion fairy-tale-figure battle narnia fantasy-world duringcreditsstinger Siblings Lucy Edmund Susan Peter step magical wardrobe find land Narnia discover charming peaceful kingdom plunge eternal winter evil White Witch Jadis aid wise magnificent lion Aslan child lead Narnia spectacular climactic battle free Witch glacial power forever
X-Men: Apocalypse,Science-Fiction mutant supernatural-powers marvel-comic superhero based-on-comic-book superhuman apocalypse superhero-team world-domination aftercreditsstinger 1980s emergence world mutant world destroyer Apocalypse x men unite defeat extinction level plan
The Dark Knight,Drama Action Crime Thriller dc-comics crime-fighter secret-identity scarecrow sadism chaos gotham-city vigilante joker superhero based-on-comic-book tragic-hero organized-crime criminal-mastermind district-attorney imax super-villain super-powers batman Batman raise stake war crime help Lt Jim Gordon District Attorney Harvey Dent Batman set dismantle remain criminal organization plague street partnership prove effective soon find prey reign chaos unleash rise criminal mastermind know terrified citizen Gotham Joker
Up,Animation Comedy Family Adventure age-difference central-and-south-america balloon animation floating-in-the-air duringcreditsstinger exploring Carl Fredricksen spend entire life dream explore globe experience life age 78 life pass twist fate persistent 8 year old Wilderness Explorer Russell new lease life
Monsters vs Aliens,Animation Family Adventure Science-Fiction alien giant-robot duringcreditsstinger Susan Murphy unwittingly clobber meteor outer space gunk wedding day mysteriously grow 49 feet-11 inch military jump action capture Susan secrete away covert government compound rename Ginormica place confinement ragtag group monster
Iron Man,Action Science-Fiction Adventure middle-east arms-dealer malibu marvel-comic superhero based-on-comic-book tony-stark iron-man aftercreditsstinger marvel-cinematic-universe counter-terrorism agent-coulson hold captive afghan cave billionaire engineer Tony Stark create unique weaponize suit armor fight evil
Hugo,Adventure Drama Family library clock film-director key toy boy love orphan robot automaton hiding filmmaking leg-brace doberman 3d Hugo orphan boy live wall train station 1930 Paris learn fix clock gadget father uncle use train station clock run thing leave connect dead father automaton mechanical man work special key Hugo need find unlock secret believe contain adventure meet shopkeeper George Melies work train station adventure seek god daughter Hugo find surprising connection father automaton discover unlock memory old man bury inside regard past
Wild Wild West,Action Adventure Comedy Science-Fiction Western steampunk based-on-tv-series steam-locomotive drag Legless Southern inventor Dr. Arliss Loveless plan rekindle Civil War assassinate President U.S. Grant man stop gunfighter James West master disguise inventor Artemus Gordon team thwart Loveless plan
The Mummy: Tomb of the Dragon Emperor,"Adventure Action Fantasy Archaeologist Rick O'Connell travel China pit emperor 2,000 year old Han dynasty return dead pursue quest world domination time O'Connell enlist help wife son quash Dragon Emperor abuse supernatural power"
Suicide Squad,Action Adventure Crime Fantasy Science-Fiction dc-comics shared-universe anti-hero secret-mission villain superhero supervillain dc-extended-universe DC Comics come Suicide Squad antihero team incarcerate supervillain act deniable asset United States government undertake high risk black op mission exchange commute prison sentence
Evan Almighty,Fantasy Comedy Family father-son-relationship daily-life married-couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah's-ark God contact Congressman Evan Baxter tell build ark preparation great flood
Edge of Tomorrow,Action Science-Fiction deja-vu time-warp restart dystopia war alien military-officer soldier alien-invasion exoskeleton Major Bill Cage officer day combat unceremoniously demote drop combat cage kill minute manage alpha alien awaken beginning day force fight die physical contact alien throw time loop
Waterworld,Adventure Action ocean tattoo mutant water dystopia doomsday futuristic world polar ice cap melt Earth liquid planet beautiful barmaid rescue mutant seafarer float island prison escape young charge Enola sail aboard ship trio soon target menacing pirate covet map Dryland tattoo Enola
G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science-Fiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra egyptian desert deep polar ice cap elite G.I. JOE team use late generation spy military equipment fight corrupt arm dealer Destro grow threat mysterious Cobra organization prevent plunge world chaos
Inside Out,Drama Comedy Animation Family dream cartoon imaginary-friend animation family moving kids unicorn duringcreditsstinger 3d emotions grow bumpy road exception Riley uproot Midwest life father start new job San Francisco like Riley guide emotion Joy Fear Anger Disgust sadness emotion live Headquarters control center inside Riley mind help advise everyday life Riley emotion struggle adjust new life San Francisco turmoil ensue Headquarters Joy Riley main important emotion try thing positive emotion conflict good navigate new city house school
The Jungle Book,Family Adventure Drama Fantasy based-on-novel snake wolf elephant tiger feral-child panther remake bear jungle talking-animal orphan animal talking-to-animals threat tiger Shere Khan force flee jungle man cub Mowgli embark journey self discovery help panther Bagheera free spirited bear Baloo
Iron Man 2,Adventure Action Science-Fiction malibu marvel-comic superhero based-on-comic-book revenge aftercreditsstinger marvel-cinematic-universe world aware dual life armored superhero Iron Man billionaire inventor Tony Stark face pressure government press public share technology military unwilling let invention Stark Pepper Potts James Rhodey rhode forge new alliance confront powerful enemy
Snow White and the Huntsman,Adventure Fantasy Drama queen magic fairy-tale immortality forest deception woman eternal-youth snow-white evil-queen evil-stepmother imprisoned sorceress Evil Queen marry King perform violent coup King murder daughter Snow White captive decade later grown Snow White clutch Queen order obtain immortality evil Queen need heart Snow White Snow escape castle Queen send Huntsman find Dark Forest
Maleficent,Fantasy Adventure Action Family Romance fairy-tale villain sleeping-beauty dark-fantasy based-on-fairy-tale adaptation retelling literary-adaptation 3d untold story Disney iconic villain 1959 classic sleep Beauty beautiful pure hearted young woman Maleficent idyllic life grow peaceable forest kingdom day invade army threaten harmony land   Maleficent rise land fierce protector ultimately suffer ruthless betrayal act begin turn heart stone bent revenge Maleficent face epic battle invade King successor result place curse newborn infant Aurora child grow Maleficent realize Aurora hold key peace kingdom Maleficent true happiness
Dawn of the Planet of the Apes,Science-Fiction Action Drama Thriller leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medical-research animal-attack plague 3d group scientist San Francisco struggle stay alive aftermath plague wipe humanity Caesar try maintain dominance community intelligent ape
The Lovers,Action Adventure Science-Fiction Romance Lovers epic romance time travel adventure film helm Roland Joffé story Ajey Jhankar film sweeping tale impossible love set backdrop anglo Maratha war time period continent centre character british officer 18th century colonial India indian woman fall deeply love american present day marine biologist wife
47 Ronin,Drama Action Adventure Fantasy japan suicide samurai based-on-true-story samurai-sword ronin shogun half-breed 3d base original 1941 movie Japan ancient Japan enduring tale epic 3d fantasy adventure 47 Ronin bear   Keanu Reeves lead cast Kai outcast join Oishi Hiroyuki Sanada leader 47 outcast samurai   seek vengeance treacherous overlord kill master banish kind   restore honor homeland warrior embark quest challenge series trial destroy ordinary warrior
Captain America: The Winter Soldier,Action Adventure Science-Fiction washington-d.c. future shield marvel-comic superhero based-on-comic-book captain-america aftercreditsstinger duringcreditsstinger marvel-cinematic-universe 3d political-thriller cataclysmic event New York Avengers Steve Rogers aka Captain America live quietly Washington D.C. try adjust modern world S.H.I.E.L.D. colleague come attack Steve embroil web intrigue threaten world risk join force Black Widow Captain America struggle expose widen conspiracy fight professional assassin send silence turn scope villainous plot reveal Captain America Black Widow enlist help new ally Falcon soon find unexpected formidable enemy Winter Soldier
Shrek Forever After,Comedy Adventure Fantasy Animation Family ogre 3d bored domesticate shrek pact deal maker Rumpelstiltskin feel like real ogre dupe send twisted version Far far away Rumpelstiltskin king ogre hunt Fiona meet set restore world reclaim true love
Tomorrowland,Adventure Family Mystery Science-Fiction inventor apocalypse destiny imax dreamer futuristic-car futuristic-city bind shared destiny bright optimistic teen burst scientific curiosity boy genius inventor jade disillusionment embark danger fill mission unearth secret enigmatic place time space exist collective memory Tomorrowland
Big Hero 6,Adventure Family Animation Action Comedy brother-brother-relationship hero talent revenge best-friend another-dimension robot boy-genius hate aftercreditsstinger moral-dilemma 3d teen-superheroes dead-brother special bond develop plus sized inflatable robot Baymax prodigy Hiro Hamada team group friend form band high tech hero
Wreck-It Ralph,Family Animation Comedy Adventure support-group product-placement bullying racing arcade medal self-esteem curiosity precocious-child aftercreditsstinger duringcreditsstinger first-person-shooter glitch carefree video-gamer q*bert interrupted-wedding social-reject wreck Ralph 9 foot tall 643 pound villain arcade video game Fix Felix Jr. game titular hero fix building Ralph destroy want prove good guy villain Ralph escape game land Hero Duty person shooter help game hero battle alien invader later enter Sugar Rush kart racing game set track candy cookie sweet Ralph meet Vanellope von Schweetz learn game face dire threat affect entire arcade Ralph inadvertently start
The Polar Express,Adventure Animation Family Fantasy santa-claus nerd faith gift bell beard north-pole chute trestle ticket christmas doubt young boy extraordinary train ride North Pole embark journey self discovery wonder life fade believe
Independence Day: Resurgence,Action Adventure Science-Fiction alternate-history alien-invasion know come use recover alien technology nation Earth collaborate immense defense program protect planet prepare alien advanced unprecedented force ingenuity brave man woman bring world brink extinction
How to Train Your Dragon,Fantasy Adventure Animation Family flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior son viking leader cusp manhood shy Hiccup horrendous Haddock III face rite passage kill dragon prove warrior mettle feared dragon realize long want destroy instead befriend beast Toothless chagrin warrior father
Terminator 3: Rise of the Machines,Action Thriller Science-Fiction saving-the-world artificial-intelligence man-vs-machine cyborg killer-robot sun-glasses leather-jacket nanotechnology rocket-launcher firemen veterinarian fire-engine dystopia psychiatrist 10 year John Connor save Earth Judgment Day live radar steer clear use Skynet trace encounter T X robotic assassin order finish T-1000 start good thing Connor nemesis Terminator aid adult Connor like promise
Guardians of the Galaxy,Action Science-Fiction Adventure marvel-comic spaceship space outer-space orphan adventurer aftercreditsstinger duringcreditsstinger marvel-cinematic-universe light year Earth 26 year abduct Peter Quill find prime target manhunt discover orb want Ronan Accuser
